Clave_Entidad,Entidad,2018,2019,2020,2021,2022,2023,2024,2025
0,República Mexicana,125995825,127215666,126387071,127625767,128666319,129320956,130047269,133367428
1,Aguascalientes,1413003,1436338,1432129,1455512,1481242,1475857,1500621,1549118
2,Baja California,3674434,3767720,3777715,3794144,3815197,3803881,3785346,4131619
3,Baja California Sur,780416,797758,802776,827122,839782,869711,880151,904052
4,Campeche,932320,936190,930632,939466,948989,941838,944239,958567
5,Coahuila,3126107,3162465,3157264,3221074,3267540,3320483,3349581,3400257
6,Colima,736743,741130,733664,744065,769640,753285,735321,767105
7,Chiapas,5582946,5648179,5553810,5627759,5687970,5692845,5797064,6107903
8,Chihuahua,3735414,3775295,3751997,3776546,3801092,3855686,3860915,4043130
9,Ciudad de México,9296268,9343071,9231142,9253082,9288243,9337072,9331540,9183658
10,Durango,1833514,1846325,1840642,1857908,1866225,1899775,1897608,1927128
11,Guanajuato,6156841,6214546,6183976,6228116,6266632,6318099,6332681,6537669
12,Guerrero,3611193,3604522,3552526,3573816,3594619,3594312,3606400,3607434
13,Hidalgo,3053548,3095127,3086336,3116784,3151759,3215292,3242031,3299857
14,Jalisco,8325605,8423387,8376942,8428830,8486735,8670646,8716154,8903326
15,México,17005733,17141518,17037618,17161317,17293128,17469358,17704334,17723173
16,Michoacán,4769382,4798352,4768501,4877676,4934536,4944834,4944660,5045030
17,Morelos,1980405,1992901,1975133,1987686,2006527,1986532,1981058,2056103
18,Nayarit,1230058,1240909,1236680,1248480,1260069,1249646,1250783,1324282
19,Nuevo León,5657159,5792403,5808608,5988484,6047265,6018706,6129559,6413123
20,Oaxaca,4151349,4180230,4149674,4197889,4242230,4224059,4296344,4339377
21,Puebla,6558654,6637103,6604360,6659230,6702546,6653278,6593645,7070124
22,Querétaro,2298993,2364645,2389549,2430465,2470354,2469773,2537470,2654421
23,Quintana Roo,1767057,1841470,1873013,1894154,1913961,1959583,1908991,2101638
24,San Luis Potosí,2837201,2855736,2828781,2847434,2867033,2853620,2880573,2979775
25,Sinaloa,3055044,3066406,3035192,3054749,3082548,3070375,3096466,3187466
26,Sonora,2960783,2981674,2953422,2971520,2992714,3012721,3063001,3140762
27,Tabasco,2444325,2442176,2408131,2424657,2437985,2487892,2521528,2467519
28,Tamaulipas,3556359,3574992,3528829,3554263,3582541,3591095,3565979,3748419
29,Tlaxcala,1345021,1358198,1344780,1357473,1368243,1425498,1470107,1447721
30,Veracruz,8203798,8188082,8075371,8144276,8191147,8151705,8094754,8121275
31,Yucatán,2282762,2326846,2330734,2351973,2369299,2362664,2371844,2513461
32,Zacatecas,1633390,1639972,1627144,1629817,1638528,1640835,1656521,1712936